year,month,value
1868,1,-0.388828431373
1868,2,-0.151828431373
1868,3,0.238171568627
1868,4,-0.0638284313725
1868,5,0.241171568627
1868,6,0.134171568627
1868,7,0.461171568627
1868,8,0.280171568627
1868,9,0.115171568627
1868,10,0.0781715686275
1868,11,-0.189828431373
1868,12,0.190171568627
1869,1,0.0481715686275
1869,2,0.582171568627
1869,3,-0.274828431373
1869,4,0.0841715686275
1869,5,0.0351715686275
1869,6,-0.0608284313725
1869,7,0.0201715686275
1869,8,0.236171568627
1869,9,0.121171568627
1869,10,-0.113828431373
1869,11,-0.0668284313725
1869,12,-0.0448284313725
1870,1,0.231171568627
1870,2,-0.138828431373
1870,3,-0.0908284313725
1870,4,0.102171568627
1870,5,0.147171568627
1870,6,0.0991715686275
1870,7,0.329171568627
1870,8,0.0531715686275
1870,9,0.0491715686275
1870,10,-0.0868284313725
1870,11,0.145171568627
1870,12,-0.410828431373
1871,1,-0.217828431373
1871,2,-0.232828431373
1871,3,0.328171568627
1871,4,0.169171568627
1871,5,0.000171568627451
1871,6,0.0921715686275
1871,7,0.302171568627
1871,8,0.0931715686275
1871,9,-0.141828431373
1871,10,-0.167828431373
1871,11,-0.223828431373
1871,12,-0.248828431373
1872,1,0.00617156862745
1872,2,-0.0888284313725
1872,3,-0.160828431373
1872,4,0.160171568627
1872,5,0.269171568627
1872,6,0.103171568627
1872,7,0.197171568627
1872,8,0.287171568627
1872,9,0.183171568627
1872,10,0.0861715686275
1872,11,0.0651715686275
1872,12,-0.115828431373
1873,1,0.297171568627
1873,2,-0.0298284313725
1873,3,0.0381715686275
1873,4,-0.208828431373
1873,5,-0.0988284313725
1873,6,0.0551715686275
1873,7,0.162171568627
1873,8,0.151171568627
1873,9,-0.0448284313725
1873,10,-0.0908284313725
1873,11,-0.152828431373
1873,12,0.0381715686275
1874,1,0.370171568627
1874,2,-0.125828431373
1874,3,-0.249828431373
1874,4,-0.198828431373
1874,5,-0.156828431373
1874,6,-0.147828431373
1874,7,0.137171568627
1874,8,-0.0568284313725
1874,9,0.100171568627
1874,10,-0.120828431373
1874,11,-0.191828431373
1874,12,-0.0938284313725
1875,1,-0.263828431373
1875,2,-0.299828431373
1875,3,-0.284828431373
1875,4,-0.152828431373
1875,5,0.138171568627
1875,6,0.0781715686275
1875,7,0.00917156862745
1875,8,0.134171568627
1875,9,0.0421715686275
1875,10,-0.0548284313725
1875,11,-0.184828431373
1875,12,-0.182828431373
1876,1,0.00217156862745
1876,2,0.0451715686275
1876,3,-0.0708284313725
1876,4,0.0151715686275
1876,5,-0.217828431373
1876,6,0.0301715686275
1876,7,0.179171568627
1876,8,0.0701715686275
1876,9,-0.121828431373
1876,10,-0.0728284313725
1876,11,-0.266828431373
1876,12,-0.398828431373
1877,1,-0.0128284313725
1877,2,0.372171568627
1877,3,0.0231715686275
1877,4,-0.0108284313725
1877,5,-0.137828431373
1877,6,0.222171568627
1877,7,0.326171568627
1877,8,0.462171568627
1877,9,0.343171568627
1877,10,0.372171568627
1877,11,0.415171568627
1877,12,0.488171568627
1878,1,0.491171568627
1878,2,0.725171568627
1878,3,0.659171568627
1878,4,0.634171568627
1878,5,0.232171568627
1878,6,0.331171568627
1878,7,0.265171568627
1878,8,0.289171568627
1878,9,0.326171568627
1878,10,0.191171568627
1878,11,0.110171568627
1878,12,-0.0478284313725
1879,1,0.117171568627
1879,2,0.164171568627
1879,3,0.217171568627
1879,4,0.0981715686275
1879,5,0.101171568627
1879,6,0.0441715686275
1879,7,0.0821715686275
1879,8,0.147171568627
1879,9,0.0981715686275
1879,10,0.191171568627
1879,11,-0.0738284313725
1879,12,-0.199828431373
1880,1,0.247171568627
1880,2,0.140171568627
1880,3,0.207171568627
1880,4,0.163171568627
1880,5,0.0691715686275
1880,6,0.00217156862745
1880,7,0.0641715686275
1880,8,0.199171568627
1880,9,0.0801715686275
1880,10,-0.0718284313725
1880,11,-0.0858284313725
1880,12,0.0201715686275
1881,1,-0.0458284313725
1881,2,0.0751715686275
1881,3,0.124171568627
1881,4,0.179171568627
1881,5,0.280171568627
1881,6,0.0821715686275
1881,7,0.162171568627
1881,8,0.186171568627
1881,9,0.0671715686275
1881,10,0.0291715686275
1881,11,-0.0258284313725
1881,12,0.176171568627
1882,1,0.431171568627
1882,2,0.308171568627
1882,3,0.260171568627
1882,4,0.0301715686275
1882,5,-0.0598284313725
1882,6,-0.00582843137255
1882,7,0.129171568627
1882,8,0.0941715686275
1882,9,0.155171568627
1882,10,-0.0218284313725
1882,11,0.00217156862745
1882,12,-0.149828431373
1883,1,-0.0968284313725
1883,2,-0.0108284313725
1883,3,-0.0348284313725
1883,4,-0.0788284313725
1883,5,0.0581715686275
1883,6,0.189171568627
1883,7,0.118171568627
1883,8,0.103171568627
1883,9,0.0341715686275
1883,10,-0.0678284313725
1883,11,0.00917156862745
1883,12,-0.0138284313725
1884,1,-0.101828431373
